X,Y
-46.59217877,-17.75119617
-49.84836393,-17.08133971
-53.20031923,-15.07177033
-54.34956105,-13.3492823
-56.26496409,-11.4354067
-58.08459697,-10.86124402
-60.47885076,-9.61722488
-59.90422985,-6.555023923
-58.08459697,-4.162679426
-57.31843575,-3.492822967
-57.89305666,-2.440191388
-57.60574621,-0.526315789
-55.78611333,0.23923444976077235
-55.30726257,0.8133971291866047
-55.97765363,1.8660287081339675
-56.26496409,3.6842105263157947
-53.8707103,7.1291866028708135
-50.23144453,9.330143540669855
-48.02873105,11.626794258373206
-44.96408619,13.540669856459331
-42.28252195,13.827751196172247
-40.36711891,15.550239234449762
-39.88826816,17.177033492822964
-39.02633679,17.655502392344495
-37.49401437,17.84688995215311
-36.4405427,17.655502392344495
-35.09976057,18.229665071770334
-34.23782921,18.708133971291865
-34.33359936,20.430622009569376
-33.75897845,21.86602870813397
-32.70550678,22.248803827751196
-30.79010375,22.822966507177032
-29.25778132,23.875598086124402
-27.9169992,24.545454545454543
-28.39584996,25.88516746411483
-28.30007981,27.41626794258373
-26.19313647,26.36363636363636
-25.42697526,25.69377990430622
-23.51157223,26.555023923444974
-22.36233041,26.555023923444974
-21.50039904,26.076555023923444
-20.35115722,27.129186602870814
-19.58499601,28.564593301435405
-18.62729449,29.13875598086124
-16.61612131,30.19138755980861
-14.89225858,30.19138755980861
-12.78531524,30.095693779904305
-9.816440543,30.19138755980861
-7.613727055,29.90430622009569
-4.740622506,29.61722488038277
-2.63367917,28.94736842105263
0.1436552274541043,28.373205741626794
1.5802075019952042,27.99043062200957
3.016759776536304,27.51196172248804
5.0279329608938355,26.842105263157894
6.751795690343172,26.36363636363636
7.996807661612124,26.076555023923444
9.337589785,25.502392344497608
11.44453312051077,25.598086124401913
12.976855546687943,24.736842105263158
14.796488427773326,24.832535885167463
16.711891460494797,25.023923444976077
18.531524341580194,25.023923444976077
20.255387071029517,24.64114832535885
21.596169193934557,24.162679425837318
23.320031923383866,24.162679425837318
24.469273743016757,23.779904306220097
25.52274541101356,23.397129186602868
26.863527533918585,22.727272727272727
27.916999201915402,22.153110047846887
28.87470071827613,21.483253588516746
29.257781324820414,20.717703349282296
30.98164405426975,20.62200956937799
32.322426177174776,20.52631578947368
33.56743814844373,19.76076555023923
34.716679968076605,18.325358851674643
35.86592178770948,17.177033492822964
37.11093375897845,16.507177033492823
37.58978451715882,15.837320574162678
38.260175578611324,15.933014354066984
39.792498,16.220095693779903
40.46288906624102,16.79425837320574
41.42059058260176,16.60287081339713
41.803671189146044,16.028708133971293
43.335993615323204,16.028708133971293
43.14445331205107,14.784688995215312
41.037509976057464,14.497607655502392
40.55865921787708,14.497607655502392
40.175578611332796,14.019138755980858
40.46288906624102,13.157894736842103
41.133280127693524,12.296650717703347
42.282521947326416,11.722488038277511
43.335993615323204,10.669856459330141
44.10215483,10
44.96408619313647,9.234449761
45.155626496408615,8.086124401913874
45.73024740622506,7.703349282296649
46.592178770949715,8.181818181818183
47.74142059058259,7.033492822966508
48.699122106943335,5.311004784688997
49.656823623304064,3.6842105263157947
50.039904229848375,1.1004784688995244
49.561053471667975,0.526315789
49.94413407821229,-0.526315789
50.51875498802873,-2.057416268
49.75259377494014,-2.822966507
50.13567438148442,-3.779904306
50.80606544293694,-4.736842105
51.09337589784516,-6.172248804
51.09337589784516,-8.086124402
50.80606544293694,-9.80861244
50.614525139664806,-10.9569378
50.13567438148442,-12.77511962
49.84836392657621,-14.40191388
49.46528332,-16.50717703
48.986432561851544,-17.75119617
48.31604150039904,-19.28229665
47.549880287310444,-21.38755981
46.68794892258579,-22.05741627
46.30486831604149,-22.91866029
45.347166799680764,-23.68421053
43.71907422,-24.73684211
42.18675179569033,-24.83253589
39.21787709497207,-25.31100478
37.11093375897845,-25.78947368
34.716679968076605,-26.55502392
33.088587390263356,-26.55502392
30.50279329608938,-27.03349282
26.480446927374288,-27.32057416
23.60734237829209,-27.6076555
22.17079010375099,-27.6076555
21.596169193934557,-27.99043062
21.88347964884278,-28.94736842
20.54269752593774,-28.94736842
18.81883479648843,-28.37320574
18.723064644852343,-27.32057416
17.094972067039095,-26.6507177
15.945730247406217,-26.93779904
14.413407821229043,-26.93779904
13.072625698324018,-26.36363636
11.92338387869114,-26.1722488
10.391061452513952,-26.26794258
9.146049481,-26.36363636
8.667198723064644,-26.36363636
8.188347964884272,-25.40669856
7.039106145251395,-25.215311
6.272944932162815,-24.44976077
4.932162809257775,-24.64114833
3.687150837988824,-24.64114833
2.920989625,-23.97129187
2.154828412,-23.77990431
0.8140462889066242,-24.06698565
-0.622505986,-23.97129187
-2.154828412,-24.35406699
-3.78292099,-24.06698565
-5.123703113,-24.16267943
-6.368715084,-24.16267943
-6.464485235,-23.30143541
-8.667198723,-23.30143541
-10.58260176,-23.39712919
-11.92338388,-23.49282297
-14.12609737,-23.49282297
-15.37110934,-23.77990431
-15.65841979,-22.91866029
-16.71189146,-22.72727273
-17.86113328,-23.01435407
-17.95690343,-23.68421053
-19.2019154,-23.97129187
-20.83000798,-22.72727273
-21.59616919,-21.96172249
-23.12849162,-22.24880383
-25.33120511,-22.15311005
-26.86352753,-21.96172249
-27.15083799,-21.29186603
-29.35355148,-21.38755981
-30.5027933,-21.38755981
-31.74780527,-21.57894737
-31.93934557,-20.33492823
-33.08858739,-20.14354067
-33.6632083,-20.71770335
-35.38707103,-20.81339713
-36.34477255,-20.81339713
-36.8236233,-20.04784689
-38.45171588,-19.76076555
-39.12210694,-19.76076555
-39.31364725,-19.76076555
-40.07980846,-19.28229665
-41.70790104,-19.18660287
-42.5698324,-19.18660287
-43.52753392,-18.70813397
-43.52753392,-18.32535885
-44.96408619,-18.13397129
-45.5387071,-18.13397129
