x, y
1165.2990015224264, 2771.7391246103934
1232.7080574833121, 2847.826127727244
1326.4948734492718, 2923.9130638636216
1449.5898346195886, 2961.956565422047
1496.4829742768475, 2985.367914930054
1537.5148068841004, 2961.956565422047
1616.647281922161, 2941.4715927397456
1698.7104104852249, 2900.5017143556142
1789.5663046004604, 2856.6053921653056
1889.2146959421477, 2821.4883344130585
1985.932165433111, 2780.5183890484554
2094.3727856755286, 2754.1805957342704
2164.7127634871376, 2675.167215791714
2308.323640961081, 2681.02010340407
2425.5570267556704, 2654.6823100898846
2660.023530019128, 2604.93310028722
2742.086926907913, 2470.3177568905876
2856.389390851778, 2359.11369602149
2900.351876984035, 2277.173939253228
2958.9684357184683, 2212.7925774001455
3008.792497226452, 2095.7357628796367
3014.6543409278993, 1972.8260607467719
3000, 1917.2240972926952
3046.8934079829805, 1829.4314529120775
3005.8618437014484, 1729.933033306748
2991.2075027735495, 1639.2140121004243
2923.798446812664, 1557.2742553321623
2859.3200443767814, 1557.2742553321623
2859.3200443767814, 1557.2742553321623
2830.011899172425, 1592.3913130844094
2780.1875693387206, 1507.5250455294977
2607.268546660421, 1425.5852887612357
2375.732696921966, 1340.7188872453796
2135.4046182827806, 1288.0433006170088
2135.4046182827806, 1288.0433006170088
1962.4853272787605, 1255.8527536514118
1965.4162491294844, 1255.8527536514118
1818.8747181305384, 1206.1036778096911
1818.8747181305384, 1206.1036778096911
1681.1254160323224, 1182.6921273602677
1610.7854382207129, 1194.3979025849794
1475.9673262989422, 1168.0601092707939
1074.4431074071906, 1159.280844832732
1074.4431074071906, 1159.280844832732
968.9331406897763, 1173.9128629222057
907.3856601046182, 1173.9128629222057
875.1465930495374, 1220.7356958991647
749.1207100284968, 1229.5149603372263
658.2649500761214, 1288.0433006170088
511.7232849143148, 1396.3209846604002
420.8675249619393, 1513.3779331418536
403.282530509037, 1586.5384254720534
397.42082097044937, 1680.1839574650273
397.42082097044937, 1680.1839574650273
353.4583348381934, 1817.7256776873655
353.4583348381934, 1817.7256776873655
350.52754715032984, 1917.2240972926952
338.80426223601506, 2165.969878384131
318.28834593238867, 2247.909635152393
335.873340385291, 2312.290997005475
335.873340385291, 2312.290997005475
379.83582651754693, 2341.555167145367
456.0375138677441, 2329.8495258815988
456.0375138677441, 2329.8495258815988
488.2767150856853, 2376.672224897614
617.233251631729, 2490.8026625924167
617.233251631729, 2490.8026625924167
658.2649500761214, 2522.9933435189578
749.1207100284968, 2543.478249220788
793.0831961607525, 2622.4916291633435
875.1465930495374, 2678.093659597892
995.31063236913, 2721.989981788201
1065.6506101807395, 2745.401331296208
1121.3365153901705, 2739.5485106643246
